form_name,form_type,office_code,office_description
N-600K,161B,PRO,Providence RI
N-600K,161B,QNS,Queens NY
N-600K,161B,RAL,Raleigh NC
N-600K,161B,REN,Reno NV
N-600K,161B,SAC,Sacramento CA
N-600K,161B,STL,Saint Louis MO
N-600K,161B,SLC,Salt Lake City UT
N-600K,161B,SNA,San Antonio TX
N-600K,161B,SBD,San Bernardino CA
N-600K,161B,SND,San Diego CA
N-600K,161B,SFV,San Fernando Valley CA
N-600K,161B,SFR,San Francisco CA
N-600K,161B,SNJ,San Jose CA
N-600K,161B,SAJ,San Juan PR
N-600K,161B,SAA,Santa Ana CA
N-600K,161B,SEA,Seattle WA
N-600K,161B,SPO,Spokane WA
N-600K,161B,TAM,Tampa FL
N-600K,161B,TUC,Tucson AZ
N-600K,161B,WAS,Washington DC
N-600K,161B,WPB,West Palm Beach FL
N-600K,161B,WIC,Wichita KS
N-600K,161B,YAK,Yakima WA
